28,51,42,94,17,26,58,24,62,37,40,31,51,60,81,15,18,61,19,47,93,9,6,14,17,49,53,17,81,43,0,30,41,12,91,27,70,69,77,56,24,50,67,62,98,35,81,0,15,56
17,20,82,65,43,30,90,66,83,1,35,65,61,3,46,21,42,98,82,59,11,91,65,55,75,44,81,2,80,40,81,2,36,69,34,82,47,40,41,82,0,83,58,40,75,84,33,25,39,36
67,87,41,75,27,90,87,12,5,50,98,83,53,1,70,2,90,8,11,86,11,35,76,8,95,82,49,40,39,20,28,37,74,73,55,49,69,74,51,64,70,67,43,11,50,22,23,23,42,61
14,30,78,53,90,74,33,57,38,52,94,89,68,21,38,12,97,8,21,50,32,78,33,51,96,2,61,96,67,46,51,89,75,95,11,85,64,2,78,85,33,13,24,1,1,42,29,87,71,46
16,42,89,18,23,6,83,48,98,71,93,6,73,63,61,0,31,5,98,28,48,17,93,46,58,35,29,35,63,89,68,27,31,44,2,98,8,82,81,2,59,5,35,12,19,9,64,64,46,11
33,44,31,9,26,62,61,87,67,96,43,74,49,57,14,7,64,77,31,41,54,61,0,18,90,7,73,3,6,41,29,53,34,22,43,63,52,22,8,47,89,83,54,82,85,3,7,34,26,33
53,62,37,40,99,81,14,71,94,78,38,11,32,35,24,0,46,29,63,99,61,40,62,50,38,88,6,14,65,0,60,7,94,11,57,68,58,58,57,93,50,12,1,72,20,32,19,36,2,59
22,93,20,19,75,59,31,53,31,50,83,56,63,41,51,22,17,36,79,28,60,1,60,4,24,6,96,29,41,38,23,18,84,33,23,94,13,9,71,28,6,30,78,15,21,69,27,31,86,99
75,38,15,16,99,29,74,70,52,62,94,18,19,64,17,36,28,96,98,15,79,18,26,73,34,27,77,12,51,24,74,36,36,78,59,55,4,64,52,51,85,42,15,61,86,77,74,8,28,78
11,62,43,5,36,8,63,90,29,21,37,56,99,59,37,6,88,22,15,29,10,45,83,41,24,87,21,95,96,56,29,91,80,84,46,74,2,6,3,89,98,46,12,36,2,32,13,97,27,71
